name,category,tags,desc
Directory of Basketball Courts,Facilities and Structures,"",Basketball Courts in New York City Department of Parks & Recreation properties.
"School, Health, Fire & Police GIS: Fire Companies",Public Safety,"geographic, location, map, cartography, safety, ...",GIS data: Boundaries of Fire Companies
Open Space Brooklyn,Social Services,"geographic, location, map, cartography, park, open, ...","Planimetric basemap polygon layer containing open space features, such as courts, tracks, cemetery outlines, etc.

Update Frequency: As Needed"
Agency Service Center,Community Service,"services, geographic, location, map, cartography, ...",Location of City Agency Service Centers with descriptive information on the programs.
mn parks,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of New York City Department of Parks & Recreation parks.
DOF: Condominium Comparable Rental Income – Brooklyn – FY 2009/2010,Property,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
NYC Capital All Funds,Finances,"capital, commitment, fiscal, actual, finance, omb, ...",Data set contains capital commitments for actual fiscal years and five financial plan fiscal years in All funds.
English Language Arts (ELA) Test Results by Grade 2006-2011 - Citywide - by Race-Ethnicity,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
DOF: Cooperative Comparable Rental Income – Bronx – FY 2011/2012,Property,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
DYCD after-school programs: Runaway And Homeless Youth,Community Service,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site,  that offer after-school programs for runaway and homeless youth, including street outreach programs, drop-in centers, crisis shelters, and transitional independent living (TIL) programs.
Update Frequency: Annually"
Transportation Structures,Transportation,planimetric basemap polygon layer containing trans...,"Planimetric basemap polygon layer containing transportation structures, such as bridges, tunnels and overpasses."
Path Station Locations,Transportation,"geographic, location, map, cartography, ...",Location of PATH stations.
